id,issue,solve
1,printer tidak bisa scan,"reinstall printer dan scanner driver menggunakan hp universal driver, lalu restart pc"
2,terdapat notif offline saat print,search msconfig pada menu search desktop lalu pilih menu startup lalu pilih menu layanan lalu search spooler pada menu search pilih dan klik kanan pilih stop dan star kembali
3,reset password oracle,open browser dan search alamat oracle perusahaan lalu input username serta pasword administrator setelah itu pada menu Navigator klik System Administrator lalu klik Security dan pilih Define lalu langkah selanjutnya pilih logo senter pada taskbar setelah itu search user yang akan direset password nya setelah itu klik OK dan masukkan password baru setelah itu save
4,reset password domain lokal,search computer management pada menu search desktop lalu pilih local users and grou lalu pilih user dan pilih user domain lokal mana yang akan di reset passwornya lalu klik kanan dan pilih set password
5,install dan daftarkan vpn untuk user,install vpn yang sudah tersedia pada harddisk kantor lalu kofigurasi sesuai dengan panduan
6,permintaan update chrome,"open chrome lalu klik titik 3 pada pojok kanan atas chrome, pilih about dan update otomatis chrome jika chrome tidak bisa di update dan harus di re install harap di Sync on terlebih dahulu dengan cara klik titik 3 pada ikon Signed in"
7,install dan konfigurasi java,search java pada chrome lalu install pada lama web tersebut setelah terinstal search konfigurasi java pada menu serch di desktop setelah muncul pop up java pilih menu security dan konfigurasikan dengan panduan yang telah diberikan
8,create domain lokal untuk user,"search menu explorer lalu klik kanan pada menu This Pc klik Manage lalu cari User, lalu buatkan akun atas nama user yang akan di daftarkan, ingat pada saat login gunakan .\ yang menandakan itu ialah domain lokal"
9,Tidak bisa mengakses internet meskipun Wi-Fi terhubung.,"Forget Jaringan, reset jaringan lalu restart perangkat."
10,Permintaan instal antivirus di laptop karyawan.,Instal antivirus resmi melalui sistem pusat dan aktivasi lisensi perusahaan.
11,Email kantor lambat menerima dan mengirim pesan.,"Bersihkan chache, cek koneksi internet, dan sinkronisasi ulang akun email di Outlook."
12,Tidak bisa masuk ke outlook.,"Clear cache browser, login ulang melalui incognito mode, dan periksa server absensi."
13,Komputer mati tiba-tiba saat digunakan.,"cek kable power serta vga, dan cek harddisk"
14,Monitor hanya menampilkan layar hitam meskipun komputer menyala.,"Periksa kabel VGA/HDMI, ganti monitor uji coba"
15,Permintaan akses remote ke server pusat.,Akses remote diberikan via VPN dan konfigurasi IP diperbarui oleh admin.
16,Shortcut aplikasi hilang dari desktop setelah restart.,Buat ulang shortcut dan pindahkan aplikasi ke folder Startup.
17,Laptop tidak bisa terhubung ke Wi-Fi.,Restart laptop/pc lalu atur ulang koneksi Wi-Fi di laptop melalui Settings dan pilih Network.
18,Tidak bisa print dokumen dari Word.,Instal ulang driver printer dan pastikan printer diatur sebagai default.
19,Komputer tidak menyala saat tombol power ditekan.,"Cek kabel power,kable vga dan harddsik"
20,Tidak bisa login ke akun email kantor.,Reset password melalui admin panel dan bantu login ulang.
21,Mouse tidak terdeteksi oleh komputer.,"Ganti port USB, uji mouse di perangkat lain, ganti mouse jika tetap tidak terdeteksi."
22,Ingin instal aplikasi Zoom di laptop kerja.,Zoom diinstal menggunakan admin rights dan shortcut ditambahkan ke desktop.
23,File tidak bisa dibuka di shared drive.,"Periksa permission folder, sinkronisasi ulang OneDrive, dan refresh koneksi jaringan."
24,Laptop sering restart sendiri saat digunakan.,"Ditemukan RAM rusak, dilakukan penggantian RAM."
25,Permintaan reset password akun Oracle.,Password direset melalui sistem Oracle dan dikirim ke user via email.
26,Printer epson ink pad error,"Untuk mereset printer Epson seri L1300, pertama-tama unduh program resetter yang sesuai dengan seri printer. Setelah selesai mengunduh, ekstrak file yang berbentuk RAR. Selanjutnya, buka file AdjProg yang ada di dalam folder hasil ekstrak. Klik menu Select, lalu pilih Model Name sesuai dengan jenis printer yang digunakan, yakni Epson L1300. Kemudian, pilih Port printer yang memiliki nama seri yang sama. Setelah itu, klik OK untuk menutup jendela pengaturan awal. Setelah konfigurasi awal selesai, masuk ke menu Particular adjustment mode di bagian kanan bawah. Di dalamnya terdapat berbagai opsi Adjustment dan Maintenance yang tersedia. Pilih Waste ink pad counter yang terletak di bagian Maintenance. Klik OK, maka jendela pengaturan Waste ink pad counter akan muncul. Aktifkan tanda centang pada Main pad counter, lalu klik Check untuk melihat nilai angka dari counter tersebut. Setelah angka muncul, aktifkan kembali tanda centang pada Main pad counter, lalu klik Initialize agar nilai counter terreset. Ketika muncul kotak dialog informasi, klik OK untuk mengonfirmasi. Jika muncul pesan yang menyarankan untuk mematikan printer, tekan dan tahan tombol Power hingga lampu indikator mati. Tunggu beberapa saat, lalu nyalakan kembali printer. Jika lampu indikator kembali normal, maka proses reset berhasil dilakukan. Terakhir, tutup semua jendela aplikasi Epson Adjustment Program yang masih terbuka dan gunakan printer seperti biasa untuk mencetak dokumen."
27,VPN tidak bisa terhubung dari rumah.,Update konfigurasi VPN dan periksa izin akses firewall.
28,Permintaan upgrade RAM pada laptop kerja.,RAM 8GB dipasang dan diverifikasi dengan software diagnostic.
29,Outlook tidak bisa sinkron email baru.,"Hapus dan tambahkan ulang akun Outlook, lalu lakukan sinkronisasi manual."
30,Laptop terasa lambat saat multitasking.,"Nonaktifkan startup apps, bersihkan temporary files, dan optimalkan RAM usage."
31,Tidak bisa upload file ke Google Drive kantor.,"Pastikan koneksi stabil, refresh browser, dan cek quota penyimpanan."
32,Keyboard tidak merespons beberapa tombol.,"Cek layout keyboard, bersihkan fisik tombol, dan uji coba dengan keyboard eksternal."
33,Permintaan instalasi aplikasi desain grafis.,Instal Adobe Photoshop melalui software center dan aktivasi lisensi.
34,Audio tidak keluar saat meeting Zoom.,"Atur ulang output audio default, cek driver, dan restart aplikasi Zoom."
35,Tidak bisa akses situs internal perusahaan.,"pastikan menggunakan jaringan perusahaan, cache browser dibersihkan."
36,Speaker internal laptop tidak berbunyi.,"Aktifkan device speaker melalui Control Panel, cek driver audio, dan restart perangkat."
37,"Laptop tidak bisa shutdown, hanya stuck di ""Shutting down""","Matikan paksa, update Windows, lalu nonaktifkan Fast Startup di Power Options."
38,Permintaan ganti tanda tangan digital di email perusahaan.,Update signature melalui Outlook Web App dan sinkronisasi ke Outlook desktop.
39,Keyboard mengetik huruf acak sendiri.,"Bersihkan fisik keyboard, cek layout input language, dan tes dengan keyboard eksternal."
40,Tidak bisa upload dokumen ke sistem ERP.,"Periksa hak akses folder, refresh session login, dan uji upload melalui browser berbeda."
41,Laptop tidak bisa connect ke proyektor saat presentasi.,"Cek kabel HDMI/VGA, atur mode display (Win+P), dan update driver grafis."
42,Permintaan aktivasi akun Google Workspace.,Akun dibuat di admin console dan akses diberikan ke email dan Drive.
43,Tidak bisa mengakses file di server lokal kantor.,"Restart koneksi LAN, pastikan server online, dan sinkronisasi ulang."
44,Printer mengeluarkan kertas kosong saat mencetak.,"Periksa tinta/toner, lakukan pembersihan nozel, dan cetak ulang dari dokumen baru."
45,Permintaan reset akun admin WiFi kantor.,"Reset username dan password router, dan update catatan kredensial."
